r1 d1 n1 r2 d2 n2 target
0.019417 4.730000 1.516802 0.000000 95.411666 1.000000 0.032970
0.019417 4.629152 1.516802 0.000000 95.534145 1.000000 0.032615
0.019417 4.547096 1.516802 0.000000 95.588075 1.000000 0.032619
0.019417 6.350415 1.516802 0.000000 94.402569 1.000000 0.032515
0.019417 5.898332 1.516802 0.000000 94.699773 1.000000 0.032541
0.019417 3.336340 1.516802 0.000000 96.384053 1.000000 0.032690
0.019417 3.582887 1.516802 0.000000 96.221970 1.000000 0.032675
0.019417 4.647833 1.516802 0.000000 95.521864 1.000000 0.032614
0.019417 6.610413 1.516802 0.000000 94.231643 1.000000 0.032500
0.019417 4.901272 1.516802 0.000000 95.355250 1.000000 0.032599
0.019417 5.803544 1.516802 0.000000 94.762087 1.000000 0.032547
0.019417 4.221075 1.516802 0.000000 95.802419 1.000000 0.032638
0.019417 4.661017 1.516802 0.000000 95.513197 1.000000 0.032613
0.019417 4.174637 1.516802 0.000000 95.832948 1.000000 0.032641
0.019417 5.392255 1.516802 0.000000 95.032473 1.000000 0.032570
0.019417 6.458384 1.516802 0.000000 94.331589 1.000000 0.032508
0.019417 4.543954 1.516802 0.000000 95.590155 1.000000 0.032620
0.019417 2.730296 1.516802 0.000000 96.782472 1.000000 0.032725
0.019417 6.352656 1.516802 0.000000 94.401096 1.000000 0.032515
0.019417 4.942555 1.516802 0.000000 95.328110 1.000000 0.032596
0.019417 4.277173 1.516802 0.000000 95.765539 1.000000 0.032635
0.019417 3.526253 1.516802 0.000000 95.411666 1.000000 0.080360
0.019417 5.169916 1.516802 0.000000 95.411666 1.000000 0.038329
0.019417 4.999608 1.516802 0.000000 95.411666 1.000000 0.034239
0.019417 4.604671 1.516802 0.000000 95.411666 1.000000 0.034755
0.019417 4.809843 1.516802 0.000000 95.411666 1.000000 0.032606
0.019417 4.257916 1.516802 0.000000 95.411666 1.000000 0.045532
0.019417 3.285313 1.516802 0.000000 95.411666 1.000000 0.093067
0.019417 5.930240 1.516802 0.000000 95.411666 1.000000 0.071336
0.019417 6.144133 1.516802 0.000000 95.411666 1.000000 0.082358
0.019417 5.092146 1.516802 0.000000 95.411666 1.000000 0.036197
0.019417 4.667766 1.516802 0.000000 95.411666 1.000000 0.033679
0.019417 5.413117 1.516802 0.000000 95.411666 1.000000 0.047107
0.019417 3.653465 1.516802 0.000000 95.411666 1.000000 0.073797
0.019417 3.461264 1.516802 0.000000 95.411666 1.000000 0.083756
0.019417 6.524415 1.516802 0.000000 95.411666 1.000000 0.102603
0.019417 4.629662 1.516802 0.000000 95.411666 1.000000 0.034288
0.019417 2.354511 1.516802 0.000000 95.411666 1.000000 0.143917
0.019417 6.632602 1.516802 0.000000 95.411666 1.000000 0.108463
